timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 01:06:21.909, 100 %, 68 %, 20065 MiB, 81920 MiB, 55, 381.16 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/09 01:06:22.159, 100 %, 49 %, 20065 MiB, 81920 MiB, 57, 402.74 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:22.410, 39 %, 11 %, 20065 MiB, 81920 MiB, 47, 98.10 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:22.660, 1 %, 0 %, 20065 MiB, 81920 MiB, 45, 96.90 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:22.911, 1 %, 0 %, 20065 MiB, 81920 MiB, 44, 94.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:23.161, 4 %, 0 %, 20065 MiB, 81920 MiB, 44, 94.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:23.412, 4 %, 0 %, 20065 MiB, 81920 MiB, 47, 207.05 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:23.662, 38 %, 25 %, 20065 MiB, 81920 MiB, 53, 355.87 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:23.912, 100 %, 65 %, 20065 MiB, 81920 MiB, 55, 397.74 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:24.163, 100 %, 64 %, 20065 MiB, 81920 MiB, 57, 392.28 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:24.413, 100 %, 49 %, 20065 MiB, 81920 MiB, 48, 101.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:24.664, 24 %, 4 %, 20065 MiB, 81920 MiB, 45, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:24.914, 2 %, 0 %, 20065 MiB, 81920 MiB, 45, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:25.165, 4 %, 0 %, 20065 MiB, 81920 MiB, 44, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:25.415, 5 %, 0 %, 20065 MiB, 81920 MiB, 46, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:25.666, 31 %, 21 %, 20065 MiB, 81920 MiB, 53, 331.23 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:25.916, 100 %, 65 %, 20065 MiB, 81920 MiB, 56, 395.61 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:26.168, 100 %, 65 %, 20065 MiB, 81920 MiB, 57, 405.79 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:26.418, 100 %, 49 %, 20065 MiB, 81920 MiB, 53, 126.18 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:26.669, 60 %, 23 %, 20065 MiB, 81920 MiB, 46, 97.22 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:26.919, 5 %, 0 %, 20065 MiB, 81920 MiB, 45, 94.49 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:27.170, 3 %, 0 %, 20065 MiB, 81920 MiB, 44, 95.09 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:27.420, 5 %, 1 %, 20065 MiB, 81920 MiB, 44, 94.49 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:27.670, 4 %, 0 %, 20065 MiB, 81920 MiB, 53, 411.11 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/09 01:06:27.921, 79 %, 52 %, 20065 MiB, 81920 MiB, 55, 385.36 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:28.171, 100 %, 66 %, 20065 MiB, 81920 MiB, 56, 404.45 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:28.422, 100 %, 56 %, 20065 MiB, 81920 MiB, 57, 280.75 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:28.673, 76 %, 33 %, 20065 MiB, 81920 MiB, 46, 96.62 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:28.923, 7 %, 0 %, 20065 MiB, 81920 MiB, 45, 95.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:29.173, 1 %, 0 %, 20065 MiB, 81920 MiB, 44, 93.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:29.424, 6 %, 2 %, 20065 MiB, 81920 MiB, 44, 94.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:29.675, 4 %, 0 %, 20065 MiB, 81920 MiB, 44, 93.23 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:29.926, 4 %, 0 %, 20065 MiB, 81920 MiB, 51, 316.31 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:30.176, 100 %, 65 %, 20065 MiB, 81920 MiB, 55, 334.29 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:30.427, 100 %, 68 %, 20065 MiB, 81920 MiB, 55, 357.39 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:30.677, 100 %, 62 %, 20065 MiB, 81920 MiB, 58, 401.99 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:30.928, 100 %, 49 %, 20065 MiB, 81920 MiB, 50, 126.18 W, 400.00 W, 1410 MHz, 1593 MHz, P0
