timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/08 23:28:28.211, 100 %, 50 %, 18269 MiB, 81920 MiB, 48, 140.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:28.462, 40 %, 13 %, 18269 MiB, 81920 MiB, 45, 94.37 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:28.712, 3 %, 0 %, 18269 MiB, 81920 MiB, 43, 96.82 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:28.962, 4 %, 0 %, 18269 MiB, 81920 MiB, 43, 94.70 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:29.213, 5 %, 0 %, 18269 MiB, 81920 MiB, 42, 93.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:29.463, 53 %, 35 %, 18269 MiB, 81920 MiB, 50, 385.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:29.714, 100 %, 65 %, 18269 MiB, 81920 MiB, 51, 360.49 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:29.964, 100 %, 66 %, 18269 MiB, 81920 MiB, 52, 397.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:30.215, 97 %, 49 %, 18269 MiB, 81920 MiB, 48, 125.07 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:30.465, 16 %, 0 %, 18269 MiB, 81920 MiB, 45, 94.37 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:30.716, 2 %, 0 %, 18269 MiB, 81920 MiB, 43, 93.60 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:30.966, 4 %, 0 %, 18269 MiB, 81920 MiB, 43, 94.37 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:31.217, 4 %, 0 %, 18269 MiB, 81920 MiB, 43, 93.17 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:31.467, 61 %, 41 %, 18269 MiB, 81920 MiB, 50, 407.12 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:31.717, 100 %, 66 %, 18269 MiB, 81920 MiB, 51, 405.32 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:31.968, 100 %, 66 %, 18269 MiB, 81920 MiB, 52, 381.05 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:32.218, 100 %, 50 %, 18269 MiB, 81920 MiB, 51, 154.18 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:32.469, 42 %, 14 %, 18269 MiB, 81920 MiB, 45, 94.70 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:32.719, 3 %, 0 %, 18269 MiB, 81920 MiB, 44, 95.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:32.969, 4 %, 0 %, 18269 MiB, 81920 MiB, 43, 93.17 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:33.220, 5 %, 1 %, 18269 MiB, 81920 MiB, 43, 94.97 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:33.470, 4 %, 0 %, 18269 MiB, 81920 MiB, 46, 94.70 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:33.721, 97 %, 64 %, 18269 MiB, 81920 MiB, 50, 388.67 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:33.971, 100 %, 68 %, 18269 MiB, 81920 MiB, 52, 384.70 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:34.221, 100 %, 53 %, 18269 MiB, 81920 MiB, 53, 388.02 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:34.472, 63 %, 27 %, 18269 MiB, 81920 MiB, 47, 123.54 W, 400.00 W, 1410 MHz, 1593 MHz, P0
